"","SMILES","half_life_formatted"
"1","BrC(Br)Br","> 1 year"
"2","BrCBr","140 days"
"3","BrCCBr","> 1 year"
"4","BrCCCBr","68 days"
"5","BrCCCc1ccccc1","150 days"
"6","BrCc1ccccc1","0.055 day"
"7","C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1","> 1 year"
"8","C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1","78 days"
"9","C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl","> 1 year"
"10","C(=NC1CCCCC1)=NC1CCCCC1","0.017 day"
"11","C1=CC2OC2CC1","0.036 day"
"12","C1CO1","13 days"
"13","C1C[NH2+]1","2.9 days"
"14","C=C(C)C(=O)OC","> 1 year"
"15","C=C(C)C(=O)OC(=O)C(=C)C","0.018 day"
"16","C=C(C)C(=O)OC(C)(C)C","140 days"
"17","C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F","5.5 days"
"18","C=C(C)C(=O)OCC(O)CO","> 1 year"
"19","C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","10 days"
"20","C=C(C)C(=O)OCCC[Si](C)(C)O[Si](C)(C)CCCOC(=O)C(=C)C","0.098 day"
"21","C=C(C)C(=O)OCCC[Si](C)(OC)OC","0.098 day"
"22","C=C(C)C(=O)OCCC[Si](OC(C)=O)(OC(C)=O)OC(C)=O","0.071 day"
"23","C=C(C)C(=O)OCCC[Si](OC)(OC)OC","0.098 day"
"24","C=C(C)C(=O)OCCC[Si](OCC)(OCC)OCC","0.098 day"
"25","C=C(C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C","0.098 day"
"26","C=C(C)C(=O)OCCOC(=O)CC(C)=O","6.5 days"
"27","C=C(C)C(=O)OCC[N+](C)(C)C","62 days"
"28","C=C(C)C(=O)OCC[NH+](C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","220 days"
